deal,opp_id,ok,win,mom,eng
Traveloka,006P700000a17yn,True,24.0,42.0,10.10
RHB Banking Group,006P700000Zu2z6,True,27.0,47.0,10.10
PT. Mitra Pinasthika Musti,006P700000ZPL1t,True,26.0,42.0,10.10
Press Metal,006P700000WN7j7,True,14.0,9.0,10.10
RADICARE (M) SDN. BHD.,006P700000Y1iMn,True,20.0,18.0,10.10
Valiram Group,006P700000Yoxqz,True,18.0,24.0,10.10
FGV Holdings Berhad,0066700000yP7lZ,True,24.0,26.0,10.10
NORTHPORT (MALAYSIA) BHD,006P700000QFJwD,True,5.0,9.9,10.10
KPJ Healthcare Berhad,006P700000URsB7,False,5,21.9,
GAMUDA BERHAD,006P700000Q15OU,True,26.0,12.0,10.10
YTL Cement Berhad,006P700000VTaRN,True,26.0,27.0,10.10
Boustead Holdings Berhad,006P700000SHPJe,True,12.0,8.0,10.10
"KWSP, EPF",006P700000Wkphs,False,27.0,45.0,10.8
Maxis Bhd,006P700000W5OP3,True,30.0,36.0,10.10
Bank Rakyat,006P700000YK67N,True,27.0,40.0,10.10
