time,deal,opp_id,status,minutes,input_tokens,output_tokens,total_tokens,cost_usd,model,source,error
2026-07-09T14:11:11.327501+00:00,SAMI,006P700000RD9Ir,completed,10.42,217492,30391,139138,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T14:13:34.499903+00:00,Allstate,006P7000006uKrq,completed,12.77,227168,37251,150836,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T14:37:59.130133+00:00,Domino's Pizza,006P700000X6hvK,completed,6.67,204094,30243,132291,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T14:45:20.225145+00:00,SARS,006P700000UZv8c,completed,13.92,2905918,36249,1489220,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T14:54:02.107786+00:00,Greencore,006P700000WeRX8,failed,0.0,,,,,anthropic:claude-sonnet-5,salesforce_trigger,RuntimeError: deal_engine_sweep: no salesforce/avoma tools loaded yet (agent_manager._cached_mcp_tools_by_server empty)
2026-07-09T14:54:25.091836+00:00,NORTHPORT,006P700000QFJwD,failed,0.0,,,,,anthropic:claude-sonnet-5,salesforce_trigger,RuntimeError: deal_engine_sweep: no salesforce/avoma tools loaded yet (agent_manager._cached_mcp_tools_by_server empty)
2026-07-09T14:55:11.630852+00:00,Robert Bosch,006P700000PlMpu,failed,0.0,,,,,anthropic:claude-sonnet-5,salesforce_trigger,RuntimeError: deal_engine_sweep: no salesforce/avoma tools loaded yet (agent_manager._cached_mcp_tools_by_server empty)
2026-07-09T14:55:12.01506+00:00,Greencore,006P700000WeRX8,failed,0.0,,,,,anthropic:claude-sonnet-5,salesforce_trigger,RuntimeError: deal_engine_sweep: no salesforce/avoma tools loaded yet (agent_manager._cached_mcp_tools_by_server empty)
2026-07-09T14:58:25.95555+00:00,Greencore,006P700000WeRX8,completed,8.38,198458,39790,139020,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T15:03:53.699099+00:00,Greencore,006P700000WeRX8,completed,12.64,198458,40749,139979,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T15:05:56.855821+00:00,Robert Bosch,006P700000PlMpu,completed,10.25,438912,35926,255383,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T15:07:12.173505+00:00,Greencore,006P700000WeRX8,completed,11.45,389396,62491,257191,,anthropic:claude-sonnet-5,salesforce_trigger,
2026-07-09T15:12:45.150273+00:00,NORTHPORT,006P700000QFJwD,completed,10.66,133681,36149,102994,0.858131,anthropic:claude-sonnet-4-5,worker,
